cell,mode_a,mode_b,n_H,n_Z,n_total,masked,power_product_primary,power_product_sensitivity,mean_tau_pt_gev,mean_met_gev,power_link_product,power_link_mean,power_link_max,auc_full_reco,auc_full_reco_lo,auc_full_reco_hi,auc_tau_object_only,auc_tau_object_only_lo,auc_tau_object_only_hi,auc_event_only,auc_event_only_lo,auc_event_only_hi,auc_met_only,auc_met_only_lo,auc_met_only_hi,delta_full_minus_event,delta_full_minus_event_lo,delta_full_minus_event_hi
1p0n x 1p0n,1p0n,1p0n,879,1012,1891,False,1.0,1.0,81.63642913602612,122.69930312711715,1.0,1.0,1.0,0.641257132836002,0.6168296560599107,0.6654685016894998,0.6069183450471476,0.5817136472486648,0.632916540997264,0.5766703988992162,0.5500023786211669,0.6044446057973083,0.5426559331255874,0.5174398407141537,0.5692014140486888,0.06458673393678582,0.038589089784457103,0.09211825024656821
1p0n x 1p1n,1p0n,1p1n,4554,4466,9020,False,0.46,0.46,84.31638210416854,114.47806829426302,0.46,0.73,1.0,0.6331486952312902,0.6219082180430673,0.6444452718738618,0.614857122796335,0.6034283888672028,0.6261248576122918,0.57064398733337,0.5586981285415655,0.5823480864065139,0.4982385332323999,0.4871635425148061,0.5093814038267713,0.06250470789792029,0.05082502221393861,0.07452090408483732
1p0n x 1pXn,1p0n,1pXn,1370,1261,2631,False,0.46,0.2,90.2582545714975,104.26573626076895,0.46,0.73,1.0,0.615252638098601,0.5944589925020849,0.6363656822967467,0.6048918422987202,0.5844720121285484,0.6266713190093857,0.5488779036450042,0.5274133749930189,0.5710289638735135,0.465238166904959,0.44368754988647496,0.48803244246616195,0.06637473445359676,0.047358257597894055,0.08510333022538644
1p0n x 3p0n,1p0n,3p0n,1459,1290,2749,False,0.02,0.02,90.30345999818793,104.85843501963056,0.02,0.51,1.0,0.6162647241659627,0.5950912325298446,0.6370338965256851,0.6052892763972351,0.5838197219936451,0.626250423797409,0.5622434395439161,0.5404591850219227,0.5839839926776956,0.47383707647268225,0.45247275866986986,0.4950569669433047,0.054021284622046584,0.035761828900119794,0.07385885441899498
1p0n x 3pXn,1p0n,3pXn,119,86,205,True,0.02,0.02,88.40815881350152,100.80275432985889,0.02,0.51,1.0,0.5991792065663475,0.5240938348476584,0.6765817947941887,0.5559898377955833,0.4823901098901099,0.6305730452554421,0.5461207738909517,0.4678885977944799,0.6288301516168515,0.6088528434629665,0.5347094715812747,0.6822605532066909,0.053058432675395784,-0.017751551521637845,0.12550545378055217
1p1n x 1p1n,1p1n,1p1n,5290,5344,10634,False,0.2116,0.2116,88.25693484386801,106.5614332195536,0.2116,0.46,0.46,0.6192595373996808,0.6084575408929149,0.6291531435719873,0.604460614451626,0.5930176180574488,0.6152790640902086,0.5653855568635885,0.5549048019024022,0.5760232702859848,0.48903611137837744,0.47764582763680996,0.5005398342261256,0.05387398053609227,0.04339478189634978,0.06452887409149341
1p1n x 1pXn,1p1n,1pXn,3098,3123,6221,False,0.2116,0.09200000000000001,93.62302743883156,95.45453586614035,0.2116,0.46,0.46,0.6051450978981616,0.5924905409100297,0.6186144971449713,0.591907083929454,0.5784556195916731,0.6047880157758171,0.5573213854930422,0.5436630327392361,0.5708790361337762,0.4887212515816449,0.4738741205563295,0.5035706531597425,0.0478237124051194,0.03430899631284117,0.06075790724260984
1p1n x 3p0n,1p1n,3p0n,3399,3355,6754,False,0.0092,0.0092,94.83185441149959,94.43998480420595,0.0092,0.24000000000000002,0.46,0.6010098963971607,0.5872998597464903,0.6143260643706752,0.5906375987677625,0.5756881148358618,0.6042681653686751,0.5590452000215721,0.545305536255648,0.573035091794602,0.4812105690768171,0.4679466957944457,0.4948224526880354,0.04196469637558864,0.02916626920144568,0.05410124830615717
1p1n x 3pXn,1p1n,3pXn,230,243,473,False,0.0092,0.0092,95.52783109389925,96.36981484856032,0.0092,0.24000000000000002,0.46,0.5593666129898014,0.5083448652970096,0.6105178126774393,0.5429951690821256,0.4918351902307043,0.5944984504946776,0.564573268921095,0.5137325914693269,0.6167179139090967,0.46546788334227945,0.4138370116336643,0.5181753123478625,-0.005206655931293658,-0.051750130320530226,0.039993079183190484
1pXn x 1pXn,1pXn,1pXn,440,500,940,False,0.2116,0.04000000000000001,98.497318172127,83.67329360405327,0.2116,0.46,0.46,0.6126454545454545,0.5770957462788872,0.6480357526335111,0.5991545454545455,0.5659138307181887,0.6355383213462921,0.5647454545454546,0.5279476070760722,0.5987832988406759,0.46331363636363637,0.4248820943876616,0.5033226834678592,0.04789999999999994,0.013410402086652761,0.08439843522740982
1pXn x 3p0n,1pXn,3p0n,1036,1017,2053,False,0.0092,0.004,100.24504456488692,82.15771586676215,0.0092,0.24000000000000002,0.46,0.6071570938827576,0.584651655019005,0.6299056833351704,0.5959233569853039,0.5729649611710195,0.6182972420598182,0.5532102899359537,0.5289365951462457,0.5766873857107427,0.4728756885836532,0.45022136696104725,0.49677442016877565,0.053946803946803956,0.031251893897084645,0.07577083026531246
1pXn x 3pXn,1pXn,3pXn,79,61,140,True,0.0092,0.004,97.83652717707606,73.74233744078334,0.0092,0.24000000000000002,0.46,0.6314588088815107,0.5320097393012572,0.722823547979798,0.57211039634779,0.47482793532666534,0.6624259259259258,0.6011620668188421,0.5020642855558514,0.6979605349597882,0.4762398837933181,0.3780089716380474,0.577968514722544,0.030296742062668636,-0.04690213612627399,0.10702774498229041
3p0n x 3p0n,3p0n,3p0n,507,501,1008,False,0.0004,0.0004,100.24174280270624,78.61824586609733,0.0004,0.02,0.02,0.53045388512915,0.49487668190081663,0.5673597712882765,0.5512879566311165,0.5165213789310416,0.5874572992793894,0.4892109272579102,0.45387921905269873,0.524266455967204,0.5456030739310334,0.5103893786332646,0.5795896762539955,0.04124295787123983,0.009664863258406675,0.06972417612806624
3p0n x 3pXn,3p0n,3pXn,91,75,166,True,0.0004,0.0004,101.59548763344254,80.78932664637065,0.0004,0.02,0.02,0.5624908424908425,0.47641505821078434,0.6471481036859188,0.5556043956043956,0.47212217542519397,0.6390919125412796,0.5846153846153846,0.5008420948928121,0.668154769364591,0.4693040293040293,0.38446759777578743,0.5487780743740795,-0.02212454212454218,-0.09738335465284172,0.05368161389662479
3pXn x 3pXn,3pXn,3pXn,1,1,2,True,0.0004,0.0004,88.54563539995868,63.402851501102305,0.0004,0.02,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
