sample,score_tertile,metric,n_values,q16,median,q84
H,low,collinear valid fraction,293,0.5938566552901023,0.5938566552901023,0.5938566552901023
H,middle,collinear valid fraction,293,0.6313993174061433,0.6313993174061433,0.6313993174061433
H,high,collinear valid fraction,293,0.5255972696245734,0.5255972696245734,0.5255972696245734
Z,low,collinear valid fraction,336,0.5297619047619048,0.5297619047619048,0.5297619047619048
Z,middle,collinear valid fraction,336,0.5952380952380952,0.5952380952380952,0.5952380952380952
Z,high,collinear valid fraction,336,0.5803571428571429,0.5803571428571429,0.5803571428571429
H,low,z (two tau sides),348,0.2764712221006457,0.5545578913951283,0.8295945776139793
H,middle,z (two tau sides),370,0.3100449526718419,0.5292412111953047,0.7755674892540271
H,high,z (two tau sides),308,0.2712974493380351,0.49353296036798056,0.7616903338587147
Z,low,z (two tau sides),356,0.26587601343877393,0.5821443909101758,0.862108570374876
Z,middle,z (two tau sides),400,0.2969461633908777,0.5205493568642447,0.77155668226752
Z,high,z (two tau sides),390,0.2920049768393925,0.5111595696205451,0.7889695418222477
H,low,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",293,0.16705570603526362,0.48035804283953504,0.7133478785559771
H,middle,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",293,0.16702130491652345,0.48971496144012017,0.6948679582042916
H,high,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",293,0.21478345005979974,0.5097118988686787,0.7058480888257225
Z,low,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",336,0.1837990615260899,0.45971492273806003,0.6961450783864729
Z,middle,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",336,0.16916497928560614,0.47576008116762986,0.6852433948858878
Z,high,"$|\sin\Delta\phi(\tau^-,\tau^+)|$",336,0.22583125285409855,0.5321216021923274,0.7172970366078755
H,low,MET [GeV],293,38.19561861607621,93.89118376759784,181.86975397644187
H,middle,MET [GeV],293,68.86594119629467,121.98788892896188,186.92454524108712
H,high,MET [GeV],293,87.43724339167507,130.15730337231,180.22271810936743
Z,low,MET [GeV],336,25.41226933485454,68.41930863635326,186.8705074870228
Z,middle,MET [GeV],336,58.207046110134534,111.77345026118721,193.00796896953375
Z,high,MET [GeV],336,78.24047793921137,121.90988797806688,181.05184982860433
H,low,tau $p_T$ [GeV] (two sides),586,29.48649121334277,67.41215330013941,149.24893420748313
H,middle,tau $p_T$ [GeV] (two sides),586,32.17897199191805,63.51511498719895,119.64038578153529
H,high,tau $p_T$ [GeV] (two sides),586,29.90080599159868,57.99099901759837,113.0405587884564
Z,low,tau $p_T$ [GeV] (two sides),672,35.42594414917058,79.39863097788417,162.3972399920057
Z,middle,tau $p_T$ [GeV] (two sides),672,31.791130414222422,63.228070105785406,128.65431645047167
Z,high,tau $p_T$ [GeV] (two sides),672,31.356099001039606,60.27720923722775,115.4502766727222
H,low,$|\eta_\tau|$ (two sides),586,0.30834521157732814,1.0906307683680592,1.881701494025284
H,middle,$|\eta_\tau|$ (two sides),586,0.2595806574716861,0.8185200149282281,1.4404480542704043
H,high,$|\eta_\tau|$ (two sides),586,0.19900879911458477,0.6262310074141193,1.2855105775214846
Z,low,$|\eta_\tau|$ (two sides),672,0.4576873257193358,1.2573887062279194,1.9141403231602752
Z,middle,$|\eta_\tau|$ (two sides),672,0.35153167042788647,0.9337056558772525,1.633389845347242
Z,high,$|\eta_\tau|$ (two sides),672,0.19806041503567942,0.694623869614666,1.3116933225818568
