sample,stage,events,fraction_of_report
H,report,22552,1.0
H,reco 1p0n²,879,0.038976587442355444
H,unique tracks,879,0.038976587442355444
H,charge ordered,879,0.038976587442355444
H,collinear valid,513,0.02274742816601632
H,finite raw angle,513,0.02274742816601632
H,both |cosθ|≤1,491,0.021771904930826536
Z,report,22335,1.0
Z,reco 1p0n²,1012,0.04531005148869487
Z,unique tracks,1008,0.045130960376091336
Z,charge ordered,1008,0.045130960376091336
Z,collinear valid,573,0.02565480188045668
Z,finite raw angle,573,0.02565480188045668
Z,both |cosθ|≤1,546,0.02444593687038281
