cohort,method,events,unweighted_auc,weighted_auc
inclusive,baseline_flow_mean,56262,0.5965517554636137,0.5961834706110447
inclusive,baseline_full_posterior,56262,0.5972083838872944,0.5968390937385413
inclusive,exact_h,56262,0.7199179726536811,0.7199689347834157
inclusive,global_gaussian_mean,56262,0.596640217313441,0.5961723742147683
inclusive,historical_baseline_flow_mean,56262,0.5965133143105069,0.5961510782344369
inclusive,historical_baseline_full_posterior,56262,0.5973276417503952,0.5969282470811368
inclusive,matched_shuffle_mean,56262,0.5965187752149348,0.5961420389048198
inclusive,oracle_direction_mean,56262,0.5989840775519345,0.59860882369695
inclusive,point_h,56262,0.6191251295731155,0.6173483973764692
inclusive,sv_raw_mean,56262,0.5972596379156638,0.5967909964116962
inclusive,sv_weighted_full_posterior,56262,0.5980488551780934,0.597645734748637
inclusive,sv_weighted_mean,56262,0.5974377861013511,0.5970434768141226
inclusive,sv_weighted_moments,56262,0.5971893209522606,0.5967677061065085
inclusive,truth_nu_functional,56262,0.640598675761699,0.6404544758041539
one_sv,baseline_flow_mean,18424,0.5936636840435082,0.5935563391506685
one_sv,baseline_full_posterior,18424,0.5935325514329733,0.5932859806109094
one_sv,exact_h,18424,0.7062595879121034,0.7059475260082757
one_sv,global_gaussian_mean,18424,0.5925566136984018,0.592190618887938
one_sv,historical_baseline_flow_mean,18424,0.5934304972063068,0.5933120502030479
one_sv,historical_baseline_full_posterior,18424,0.5935881450604906,0.59333091760206
one_sv,matched_shuffle_mean,18424,0.593544542215379,0.5934072482542666
one_sv,oracle_direction_mean,18424,0.5998413056775336,0.5997180938045312
one_sv,point_h,18424,0.610130628467369,0.6083489304873979
one_sv,sv_raw_mean,18424,0.5952183317014086,0.5947932711699149
one_sv,sv_weighted_full_posterior,18424,0.5953764921836362,0.5950203467044435
one_sv,sv_weighted_mean,18424,0.5955344405439147,0.5953216860829023
one_sv,sv_weighted_moments,18424,0.595443351843566,0.5951921036642523
one_sv,truth_nu_functional,18424,0.6503254634204656,0.6502323999575641
both_sv,baseline_flow_mean,2368,0.5665286449712923,0.5653318567144261
both_sv,baseline_full_posterior,2368,0.5700325744518131,0.5684684097458178
both_sv,exact_h,2368,0.6916456447544146,0.6915611731600646
both_sv,global_gaussian_mean,2368,0.578225056216969,0.5769292117556727
both_sv,historical_baseline_flow_mean,2368,0.5662486302464416,0.565035039954583
both_sv,historical_baseline_full_posterior,2368,0.5698424498042394,0.5682037346039654
both_sv,matched_shuffle_mean,2368,0.5665946357026266,0.5654109823461971
both_sv,oracle_direction_mean,2368,0.575892551394295,0.5746714778972737
both_sv,point_h,2368,0.5839295090574953,0.580982298778772
both_sv,sv_raw_mean,2368,0.5740608627164496,0.573658090250296
both_sv,sv_weighted_full_posterior,2368,0.5769865707078201,0.5756765300736079
both_sv,sv_weighted_mean,2368,0.573516528359606,0.572763597326285
both_sv,sv_weighted_moments,2368,0.572914407524513,0.5720462321231247
both_sv,truth_nu_functional,2368,0.6747876881984317,0.6747546289438897
threeprong_containing,baseline_flow_mean,20752,0.5913572328640034,0.591184021094794
threeprong_containing,baseline_full_posterior,20752,0.591483126360901,0.5911841533678307
threeprong_containing,exact_h,20752,0.7038770989293364,0.7036936240349903
threeprong_containing,global_gaussian_mean,20752,0.5917424557252631,0.5913329706602308
threeprong_containing,historical_baseline_flow_mean,20752,0.5911603370510781,0.5909785852142073
threeprong_containing,historical_baseline_full_posterior,20752,0.5914865910212723,0.5911661814982685
threeprong_containing,matched_shuffle_mean,20752,0.5912530097495357,0.5910563954241561
threeprong_containing,oracle_direction_mean,20752,0.5979239299911963,0.5977260402801465
threeprong_containing,point_h,20752,0.6067582055325704,0.604839805934313
threeprong_containing,sv_raw_mean,20752,0.5936309557093794,0.5932331105804896
threeprong_containing,sv_weighted_full_posterior,20752,0.5939445260502519,0.5935565602085413
threeprong_containing,sv_weighted_mean,20752,0.5938541476443189,0.5936238042062519
threeprong_containing,sv_weighted_moments,20752,0.5936532623632179,0.5933933690034666
threeprong_containing,truth_nu_functional,20752,0.653070780503455,0.6529759601115959
threeprong_x_threeprong,baseline_flow_mean,2357,0.5720279367822299,0.5710028220781233
threeprong_x_threeprong,baseline_full_posterior,2357,0.575442632393707,0.5740304174608595
threeprong_x_threeprong,exact_h,2357,0.6878820606976995,0.6880588253609425
threeprong_x_threeprong,global_gaussian_mean,2357,0.5819174136875833,0.5807278745056512
