cohort,comparison,ci_high,ci_low,difference,draws,events,seed
any_sv,global_gaussian_minus_baseline_mean,0.0030064545260556096,-0.002999852965087188,-1.7550232450314063e-05,2000,20792,20260945
any_sv,sv_full_minus_baseline_full,0.003960340156861931,0.0008059815739131615,0.002339488390003641,2000,20792,20260943
any_sv,sv_mean_minus_baseline_mean,0.003989221127985137,0.0007977906540404007,0.0023513107690567026,2000,20792,20260942
any_sv,sv_mean_minus_shuffle_mean,0.004012368485139391,0.0009434651765934498,0.0024761678127777076,2000,20792,20260944
exact_surface_invalid,global_gaussian_minus_baseline_mean,0.0018853067713531222,-0.000970616405642688,0.0004696518271812833,2000,32375,20260985
exact_surface_invalid,sv_full_minus_baseline_full,0.0016974032717459087,0.00021978583778754226,0.0009641607531893914,2000,32375,20260983
exact_surface_invalid,sv_mean_minus_baseline_mean,0.0017579689394454144,0.00027250324492995306,0.001023767860490965,2000,32375,20260982
exact_surface_invalid,sv_mean_minus_shuffle_mean,0.0018580937600241316,0.00039771198026068987,0.0011109776095797885,2000,32375,20260984
inclusive,global_gaussian_minus_baseline_mean,0.001097417712839438,-0.001069458524519365,-1.1096396276388809e-05,2000,56262,20260925
inclusive,sv_full_minus_baseline_full,0.0013869646635872835,0.00024149883903824276,0.0008066410100957544,2000,56262,20260923
inclusive,sv_mean_minus_baseline_mean,0.001423900013424342,0.0002847409259078948,0.0008600062030779121,2000,56262,20260922
inclusive,sv_mean_minus_shuffle_mean,0.0014764456442691693,0.00033606896890361063,0.0009014379093028602,2000,56262,20260924
threeprong_x_threeprong,global_gaussian_minus_baseline_mean,0.02202832074700777,-0.0022187634561052936,0.00972505242752797,2000,2357,20260965
threeprong_x_threeprong,sv_full_minus_baseline_full,0.01322753200096402,0.0005252204112476401,0.006908925883511219,2000,2357,20260963
threeprong_x_threeprong,sv_mean_minus_baseline_mean,0.013542453376538734,0.0003834220504290165,0.007145079701000756,2000,2357,20260962
threeprong_x_threeprong,sv_mean_minus_shuffle_mean,0.013512042625405854,0.0006822640508852118,0.007073831749420112,2000,2357,20260964
