cohort,method,events,mse,mse_h_n,mse_h_r,mse_h_k,cosine,corr_h_n,corr_h_r,corr_h_k
inclusive,global_gaussian,56262,0.16303913476613568,0.17803456997523862,0.19590716338087183,0.11517567094232793,0.6866105341401207,0.6915462745593574,0.6441002319608201,0.8038214825000607
inclusive,matched_shuffle,56262,0.1615599973399887,0.17685432907767412,0.19392462585466455,0.11390103708765989,0.6836992445682553,0.6940483954301792,0.6486567187499694,0.8062876082678759
inclusive,oracle_direction,56262,0.15607324318394275,0.17105571025747238,0.18781872305467173,0.10934529623971433,0.6994692334619753,0.7063292397506331,0.6627757955440136,0.8149949891521535
inclusive,sv,56262,0.15964953880350427,0.17472773762215713,0.19191338150759255,0.11230749728079722,0.6896510886719737,0.6985247934999148,0.6532649509720622,0.8093096168972544
inclusive,sv_raw,56262,0.16016844671431227,0.17515640342309463,0.1926228902661031,0.11272604645377182,0.6911013814854404,0.6975820760391224,0.6515986398988454,0.8084521551037559
inclusive,uniform,56262,0.16155837751871446,0.17685215672048232,0.19392695610036623,0.11389601973532669,0.6836828788953757,0.6940536335982682,0.6486523306078534,0.8062976320279823
one_sv,global_gaussian,18424,0.169514451111829,0.17969070338838772,0.19494635634784646,0.13390629359927142,0.6780985396353286,0.6870364080580926,0.6487994917842154,0.7685942841669701
one_sv,matched_shuffle,18424,0.1658657995836068,0.1770434226865272,0.18972925373771882,0.1308247223265916,0.6710789233757507,0.6920646492562553,0.659484306043012,0.7743633662322598
one_sv,oracle_direction,18424,0.1526258036852101,0.16291679813256185,0.17526010703361833,0.11970050588946525,0.7089348784892167,0.7219796028687839,0.6920142788890997,0.7963272138488012
one_sv,sv,18424,0.16119063218125296,0.171629663429901,0.1850185818869324,0.1269236512269397,0.6855258030749083,0.7034930008316934,0.6700159239600081,0.7820236836620289
one_sv,sv_raw,18424,0.16248972912790124,0.17247953938091373,0.18695302843991118,0.12803661956289492,0.6887729283548913,0.7019395472767467,0.6662506068579763,0.7799438594279283
one_sv,uniform,18424,0.1658703906336453,0.17702231120966863,0.18977673181811844,0.1308121288731661,0.6710225184826277,0.6921118049046602,0.6593780405306833,0.7743886100948462
both_sv,global_gaussian,2368,0.18015297254558257,0.1840711192192468,0.19001013631461539,0.16637766210288885,0.6604647803968835,0.6761857357150771,0.6664094332413644,0.7021257094220296
both_sv,matched_shuffle,2368,0.17339770476098826,0.17662634990850695,0.18349762457031485,0.1600691398041452,0.6459100659011742,0.6885369309265884,0.6760585423941449,0.7142957941789608
both_sv,oracle_direction,2368,0.14604885429840575,0.14876614666533916,0.15100153316119694,0.1383788830686842,0.7260591360565775,0.7478546629856865,0.7456618554139806,0.7602727735490696
both_sv,sv,2368,0.1643812630554488,0.16822128743968123,0.17236282251107996,0.15255967921558797,0.674919078310858,0.7064179740509432,0.7000214151821104,0.730017848304162
both_sv,sv_raw,2368,0.1666026459662722,0.17179370330576932,0.17416946882837797,0.15384476576467293,0.6841130555544622,0.7011116523828539,0.6982986294035424,0.7279017619418038
both_sv,uniform,2368,0.17332349872617375,0.1767389920914979,0.18318359084160943,0.16004791324541587,0.6459600820596824,0.6882922300367174,0.6767509899320815,0.7143538393675349
threeprong_containing,global_gaussian,20752,0.17087866623250644,0.18015830764108592,0.19467438197040027,0.13780330908605265,0.6754326231054173,0.6853198572142077,0.6502044826297838,0.7610617014281529
