cohort,method,events,ess_mean,ess_min,ess_median,max_weight_mean,max_weight_median,max_weight_max,normalized_entropy_mean,collapse_fraction_ess_below_10pct,collapse_fraction_max_weight_above_half
inclusive,global_gaussian,20792,210.33885856000862,1.0,248.83929443359375,0.04294252193542469,0.0048949504271149635,1.0,0.9345075699924486,0.054059253559061174,0.033474413235859944
inclusive,matched_shuffle,20792,255.45263707871712,58.622596740722656,256.0,0.004025272016289704,0.00390625,0.0962936207652092,0.9997695827825843,0.0,0.0
inclusive,oracle_direction,20792,240.62706443391062,48.366336822509766,254.18645477294922,0.005284586536903909,0.004306302405893803,0.08970329910516739,0.991467359511267,0.0,0.0
inclusive,sv,20792,238.08152391416104,41.19518280029297,253.76541900634766,0.005762577833964878,0.004416635259985924,0.10292280465364456,0.990599682207014,0.0,0.0
inclusive,sv_raw,20792,194.80847282640036,1.0005431175231934,229.8637466430664,0.01685436566343005,0.00608244794420898,0.9997285604476929,0.9451719987655798,0.022845325125048097,0.0024528664871104272
one_sv,global_gaussian,18424,214.4132053046267,1.0,250.46990203857422,0.039088742319073715,0.004737061448395252,1.0,0.9408351897805373,0.0486322188449848,0.03001519756838906
one_sv,matched_shuffle,18424,255.5134729964289,58.622596740722656,256.0,0.004013282158906412,0.00390625,0.09347671270370483,0.9997957143293636,0.0,0.0
one_sv,oracle_direction,18424,242.09756548281499,48.366336822509766,254.56510162353516,0.00514538889276988,0.004248173674568534,0.08970329910516739,0.9922989750530893,0.0,0.0
one_sv,sv,18424,239.74514057219054,41.19518280029297,254.18885040283203,0.005571980058435752,0.004338799975812435,0.10292280465364456,0.9914920430596477,0.0,0.0
one_sv,sv_raw,18424,199.8060322484787,1.0005431175231934,235.22089385986328,0.015211708191696302,0.005741465138271451,0.9997285604476929,0.950519159044588,0.01915979157620495,0.0022796352583586625
both_sv,global_gaussian,2368,178.63878912468618,1.0,214.56761932373047,0.07292648969372306,0.007419043453410268,1.0,0.8852761227898516,0.09628378378378379,0.060388513513513514
both_sv,matched_shuffle,2368,254.97930897570944,75.47283935546875,256.0,0.004118557967484702,0.00390625,0.0962936207652092,0.9995662687547706,0.0,0.0
both_sv,oracle_direction,2368,229.18597012436067,55.18789291381836,247.26217651367188,0.006367600639744007,0.005087786819785833,0.060779549181461334,0.9849970534544539,0.0,0.0
both_sv,sv,2368,225.1379118755057,51.1366081237793,244.13312530517578,0.007245505796949933,0.005401917267590761,0.07392485439777374,0.983656753005611,0.0,0.0
both_sv,sv_raw,2368,155.92543448502752,1.0028026103973389,164.86185455322266,0.029634906735736877,0.011252315249294043,0.9986016154289246,0.9035689240272159,0.05152027027027027,0.003800675675675676
threeprong_containing,global_gaussian,20498,210.6366214925969,1.0,248.94680786132812,0.042177275946746,0.004886353621259332,1.0,0.9354013132193298,0.05307834910722997,0.032734900965947895
threeprong_containing,matched_shuffle,20498,255.47428861289202,63.92512512207031,256.0,0.004016362581128001,0.00390625,0.0962936207652092,0.9997775520606325,0.0,0.0
threeprong_containing,oracle_direction,20498,240.7467506053983,48.366336822509766,254.21363830566406,0.005268661759270168,0.004304209025576711,0.08970329910516739,0.9915308741281434,0.0,0.0
